,summary,summary_detail,id,guidislink,links,link,published,published_parsed,title,title_detail
10,HPE CEO Antonio Neri chats about the company's big quarter and why his company has moved quickly to stop shipments to Russia.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""HPE CEO Antonio Neri chats about the company's big quarter and why his company has moved quickly to stop shipments to Russia.""}",aca7071c-29c4-4a5a-969d-11da925850f5,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/hpe-halts-shipments-to-russia-ceo-says-situation-completely-unacceptable-185033663.html?.tsrc=rss'}]",https://finance.yahoo.com/news/hpe-halts-shipments-to-russia-ceo-says-situation-completely-unacceptable-185033663.html?.tsrc=rss,"Thu, 03 Mar 2022 18:50:33 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=3, tm_hour=18, tm_min=50, tm_sec=33, tm_wday=3, tm_yday=62, tm_isdst=0)","HPE halts shipments to Russia, CEO says situation completely unacceptable","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'HPE halts shipments to Russia, CEO says situation completely unacceptable'}"
11,"Amazon (AMZN) is closing its Pop Up, Amazon Books, and 4-star stores as a result of unexpectedly slow sales growth.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Amazon (AMZN) is closing its Pop Up, Amazon Books, and 4-star stores as a result of unexpectedly slow sales growth.'}",ae99f200-a98d-36a6-863b-b17190ccbf0e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/ae99f200-a98d-36a6-863b-b17190ccbf0e/amazon-will-shutter-68.html?.tsrc=rss'}]",https://finance.yahoo.com/m/ae99f200-a98d-36a6-863b-b17190ccbf0e/amazon-will-shutter-68.html?.tsrc=rss,"Thu, 03 Mar 2022 16:25:45 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=3, tm_hour=16, tm_min=25, tm_sec=45, tm_wday=3, tm_yday=62, tm_isdst=0)",Amazon Will Shutter 68 Physical Stores,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Amazon Will Shutter 68 Physical Stores'}"
12,"What to look for from company executives as they respond to crises.  To catch full episodes of all The Motley Fool's free podcasts, check out our podcast center.  Steve Ballmer: That is the most expensive phone in the world, and it doesn't appeal to business customers because it doesn't have a keyboard, which makes it not a very good email machine.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""What to look for from company executives as they respond to crises.  To catch full episodes of all The Motley Fool's free podcasts, check out our podcast center.  Steve Ballmer: That is the most expensive phone in the world, and it doesn't appeal to business customers because it doesn't have a keyboard, which makes it not a very good email machine.""}",66ff422a-00f3-3f97-b235-41b778e214a2,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/66ff422a-00f3-3f97-b235-41b778e214a2/making-sense-of-past-stock.html?.tsrc=rss'}]",https://finance.yahoo.com/m/66ff422a-00f3-3f97-b235-41b778e214a2/making-sense-of-past-stock.html?.tsrc=rss,"Thu, 03 Mar 2022 15:51:33 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=3, tm_hour=15, tm_min=51, tm_sec=33, tm_wday=3, tm_yday=62, tm_isdst=0)",Making Sense of Past Stock Drops,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Making Sense of Past Stock Drops'}"
13,"Verizon, having exited the original content business, is escalating its play as an aggregator of streaming services — including forming a new partnership with Netflix. The telco unveiled plans for “Plus Play,” a platform to let Verizon customers discover, purchase and manage subscriptions across entertainment, audio, gaming, fitness, music and lifestyle. In a way, Plus […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Verizon, having exited the original content business, is escalating its play as an aggregator of streaming services — including forming a new partnership with Netflix. The telco unveiled plans for “Plus Play,” a platform to let Verizon customers discover, purchase and manage subscriptions across entertainment, audio, gaming, fitness, music and lifestyle. In a way, Plus […]'}",83720c9b-c65b-38ff-bffb-20c66914406e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://variety.com/2022/digital/news/verizon-plus-play-streaming-netflix-1235195068/?.tsrc=rss'}]",https://variety.com/2022/digital/news/verizon-plus-play-streaming-netflix-1235195068/?.tsrc=rss,"Thu, 03 Mar 2022 15:43:44 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=3, tm_hour=15, tm_min=43, tm_sec=44, tm_wday=3, tm_yday=62, tm_isdst=0)","Verizon to Launch ‘Plus Play’ Streaming Aggregation Hub, Adds Netflix and More as Partners","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Verizon to Launch ‘Plus Play’ Streaming Aggregation Hub, Adds Netflix and More as Partners'}"
14,"Meta Platforms (NASDAQ:FB), formerly Facebook Inc., may be betting its future on the metaverse. But if you’re looking for stocks to buy that give you exposure to this trend, not only is FB stock far from being your only choice. It may not even be your best choice. Sure, the meta catalyst isn’t the sole reason to buy shares in the social media giant. Following its post-earnings plunge, it has fallen to a low price-to-earnings (P/E) ratio (17x). Today, it is not a stretch to call it a value stock.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Meta Platforms (NASDAQ:FB), formerly Facebook Inc., may be betting its future on the metaverse. But if you’re looking for stocks to buy that give you exposure to this trend, not only is FB stock far from being your only choice. It may not even be your best choice. Sure, the meta catalyst isn’t the sole reason to buy shares in the social media giant. Following its post-earnings plunge, it has fallen to a low price-to-earnings (P/E) ratio (17x). Today, it is not a stretch to call it a value stock.'}",0bc6b31e-b7e3-33db-b48a-b70dfba314c2,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/7-stocks-buy-shot-becoming-143238991.html?.tsrc=rss'}]",https://finance.yahoo.com/news/7-stocks-buy-shot-becoming-143238991.html?.tsrc=rss,"Thu, 03 Mar 2022 14:32:38 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=3, tm_hour=14, tm_min=32, tm_sec=38, tm_wday=3, tm_yday=62, tm_isdst=0)",7 Stocks to Buy That Have a Shot at Becoming the Metaverse King,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': '7 Stocks to Buy That Have a Shot at Becoming the Metaverse King'}"
15,"In this article, we discuss 10 pandemic stocks that are losing value. If you want to skip our detailed analysis of these stocks, go directly to 5 Pandemic Stocks That Are Losing Value. The outbreak of the COVID-19 pandemic in the beginning of 2020 triggered a freefall in share prices and the stock market saw […]","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'In this article, we discuss 10 pandemic stocks that are losing value. If you want to skip our detailed analysis of these stocks, go directly to 5 Pandemic Stocks That Are Losing Value. The outbreak of the COVID-19 pandemic in the beginning of 2020 triggered a freefall in share prices and the stock market saw […]'}",bf84b657-243a-39f2-a83d-3a6dd32b269d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/10-pandemic-stocks-losing-value-140501753.html?.tsrc=rss'}]",https://finance.yahoo.com/news/10-pandemic-stocks-losing-value-140501753.html?.tsrc=rss,"Thu, 03 Mar 2022 14:05:01 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=3, tm_hour=14, tm_min=5, tm_sec=1, tm_wday=3, tm_yday=62, tm_isdst=0)",10 Pandemic Stocks That Are Losing Value,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': '10 Pandemic Stocks That Are Losing Value'}"
16,ITV shares crashed as investors delivered a damning verdict on the broadcaster's plans to invest heavily in exclusive programming for a new streaming push to challenge the might of Netflix and Disney+.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""ITV shares crashed as investors delivered a damning verdict on the broadcaster's plans to invest heavily in exclusive programming for a new streaming push to challenge the might of Netflix and Disney+.""}",49e0369a-424d-311d-8b31-6521e3b73858,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://uk.finance.yahoo.com/news/itv-takes-netflix-streaming-091128548.html?.tsrc=rss'}]",https://uk.finance.yahoo.com/news/itv-takes-netflix-streaming-091128548.html?.tsrc=rss,"Thu, 03 Mar 2022 09:11:28 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=3, tm_hour=9, tm_min=11, tm_sec=28, tm_wday=3, tm_yday=62, tm_isdst=0)",ITV's plan to take on Netflix and Disney+ sends shares crashing,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""ITV's plan to take on Netflix and Disney+ sends shares crashing""}"
17,Movies and video games have been intrinsically linked for years -- by both the arcade machines still found in lobbies of your local multiplex and...,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Movies and video games have been intrinsically linked for years -- by both the arcade machines still found in lobbies of your local multiplex and...'}",db892bba-4c59-3107-8b81-e18c2770d853,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/db892bba-4c59-3107-8b81-e18c2770d853/now-playing-on-netflix%3A-your.html?.tsrc=rss'}]",https://finance.yahoo.com/m/db892bba-4c59-3107-8b81-e18c2770d853/now-playing-on-netflix%3A-your.html?.tsrc=rss,"Thu, 03 Mar 2022 01:00:31 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=3, tm_hour=1, tm_min=0, tm_sec=31, tm_wday=3, tm_yday=62, tm_isdst=0)",Now Playing on Netflix: Your Teenager,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Now Playing on Netflix: Your Teenager'}"
18,"(Bloomberg) -- Peloton Interactive Inc. co-founder John Foley, who stepped down from the chief executive officer role last month, sold about $50 million in stock to MSD Partners, a firm that manages money for billionaire Michael Dell.Most Read from BloombergUkraine Update: U.K. Premier Says More Pressure Needed on PutinPutin Warns Ukraine as Safe-Passage Plans Descend Into ChaosPutin Aims to Avert Defaults With Ruble Payment to CreditorsUkraine Update: UN Council to Meet, Safety Corridors Set Up","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': '(Bloomberg) -- Peloton Interactive Inc. co-founder John Foley, who stepped down from the chief executive officer role last month, sold about $50 million in stock to MSD Partners, a firm that manages money for billionaire Michael Dell.Most Read from BloombergUkraine Update: U.K. Premier Says More Pressure Needed on PutinPutin Warns Ukraine as Safe-Passage Plans Descend Into ChaosPutin Aims to Avert Defaults With Ruble Payment to CreditorsUkraine Update: UN Council to Meet, Safety Corridors Set Up'}",419727c7-ad36-3127-b2f0-c87bca31bf72,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/peloton-ex-ceo-sells-50-235545373.html?.tsrc=rss'}]",https://finance.yahoo.com/news/peloton-ex-ceo-sells-50-235545373.html?.tsrc=rss,"Thu, 03 Mar 2022 00:49:33 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=3, tm_hour=0, tm_min=49, tm_sec=33, tm_wday=3, tm_yday=62, tm_isdst=0)",Peloton Ex-CEO Sells $50 Million of Stock to Firm Linked to Michael Dell,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Peloton Ex-CEO Sells $50 Million of Stock to Firm Linked to Michael Dell'}"
19,"Academy Award-nominated filmmaker Rory Kennedy discusses her new Netflix documentary, Downfall: The Case Against Boeing.  Emily and Jason ponder the threat of an avocado shortage in America and share two stocks on their radar: Upstart Holdings and Etsy.  To catch full episodes of all The Motley Fool's free podcasts, check out our podcast center.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""Academy Award-nominated filmmaker Rory Kennedy discusses her new Netflix documentary, Downfall: The Case Against Boeing.  Emily and Jason ponder the threat of an avocado shortage in America and share two stocks on their radar: Upstart Holdings and Etsy.  To catch full episodes of all The Motley Fool's free podcasts, check out our podcast center.""}",9c0af4c2-9c9f-3edb-ba6a-a2ff91c35916,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/9c0af4c2-9c9f-3edb-ba6a-a2ff91c35916/finding-long-term-winners-in.html?.tsrc=rss'}]",https://finance.yahoo.com/m/9c0af4c2-9c9f-3edb-ba6a-a2ff91c35916/finding-long-term-winners-in.html?.tsrc=rss,"Wed, 02 Mar 2022 21:19:56 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=2, tm_hour=21, tm_min=19, tm_sec=56, tm_wday=2, tm_yday=61, tm_isdst=0)",Finding Long-Term Winners in a Rough Market,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Finding Long-Term Winners in a Rough Market'}"
